Organisation Name,Town/City,County,Type & Rating,Route
 The Islamic Cultural Centre Zakariyya Jaam'e Masjid,Bolton,,Worker (A rating),Skilled Worker
 The Meating Room,Berkhamsted,NULL,Worker (A rating),Skilled Worker
 TOP BEAUTY CENTRE LIMITED ,WELLINGBOROUGH,,Worker (A rating),Skilled Worker
 TRADE KITCHENS BY DTN LTD  ,Oldham,,Worker (A rating),Skilled Worker
 TST NOTTINGHAM TYRES AUTO LTD,Nottingham,,Worker (A rating),Skilled Worker
 Tutis Estates ,Coventry,,Worker (A rating),Skilled Worker
 UK SPRAY INSULATION LIMITED,HAYES,MIDDLESEX,Worker (A rating),Skilled Worker
 Usman's Supermarket  ,Sheffield,,Worker (A rating),Skilled Worker
 V-Count UK LTD,London,,Worker (A rating),Skilled Worker
 VENKATESH ANKAM T/A Church Street Dental Practice,Wigan,,Worker (A rating),Skilled Worker
 viceroy Cars Limited,Epsom,Surrey,Worker (A rating),Skilled Worker
 VICKY 1 LIMITED t/a Ayat Curry House,West Kilbride,,Worker (A rating),Skilled Worker
 WEST FACE SCHOOL OF BUSINESS LTD,London,,Worker (A rating),Skilled Worker
 WICKET ELECTRONIC LIMITED,London,,Worker (A rating),Skilled Worker
 Your Store-Costcutter,Holmewood ,Chesterfield ,Worker (A rating),Skilled Worker
 Z N A CATERING LIMITED,Stoke-On-Trent,,Worker (A rating),Skilled Worker
 ZK STORES LTD,Manchester,,Worker (A rating),Skilled Worker
"""K"" Line Energy Shipping (UK) Limited",LONDON,NULL,Worker (A rating),Skilled Worker
&SISTERS LTD,London,,Worker (A rating),Skilled Worker
'O Ver St. James Ltd,London,,Worker (A rating),Skilled Worker
(A1F1 Limited T/A ) Ultrasound Direct London,Croydon,London,Worker (A rating),Skilled Worker
(IECC Care) Independent Excel Care Consortium Limited,Colchester,,Worker (A rating),Skilled Worker
-Seabrook House Ltd,Exeter,,Worker (A rating),Skilled Worker
.LITTLE NOORIYAH LTD,Smethwick,,Worker (A rating),Skilled Worker
???£ ESS LTD,Manchester,,Worker (A rating),Skilled Worker
@ Architect UK Ltd,West Horndon,Essex,Worker (A rating),Skilled Worker
@ Home Accommodation Services Ltd,London,NULL,Worker (A rating),Skilled Worker
@ Ur Eaz Ltd,High Wycombe,,Worker (A rating),Skilled Worker
@@@ FILER LIMITED,Bolton,,Worker (A rating),Skilled Worker
[AI] INFINITI LIMITED,Croydon,England,Worker (A rating),Skilled Worker
`Brunswick Stores Limited, Leamington Spa ,Warwickshire,Worker (A rating),Skilled Worker
003 Ltd,Hounslow,,Worker (A rating),Skilled Worker
007 Taxi Limited ,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
0086 Ltd,London,,Worker (A rating),Skilled Worker
00Nation Limited,London,London,Worker (A rating),Skilled Worker
01 ACCOUNTING SERVICES LTD,LONDON,NULL,Worker (A rating),Skilled Worker
01 Accounting Services Ltd,London,,Worker (A rating),Skilled Worker
012 Global Ltd,London,NULL,Worker (A rating),Skilled Worker
023 LTD,Edinburgh,,Worker (A rating),Skilled Worker
09 Care Limited ,Bradford,,Worker (A rating),Skilled Worker
0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker
1 ACE TRAINING LIMITED,London,,Worker (A rating),Skilled Worker
1 ALS LIMITED,London,,Worker (A rating),Skilled Worker
1 AND 1 ROUGAMO LIMITED,Cambridge,,Worker (A rating),Skilled Worker
1 And 5 Tech Ltd,Slough,,Worker (A rating),Skilled Worker
1 Answer Insurance Services LTD.,Polegate,East Sussex,Worker (A rating),Skilled Worker
1 Bishops Avenue Limited,London,,Worker (A rating),Skilled Worker
1 CHA LTD,LONDON,,Worker (A rating),Skilled Worker
1 Digitals Europe Limited,Slough,,Worker (A rating),Skilled Worker
1 Green Foods Ltd,Northolt,,Worker (A rating),Skilled Worker
1 Homecare Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker
1 Indus Limited,Bath,,Worker (A rating),Skilled Worker
1 Key Solution Limited,Leicester,,Worker (A rating),Skilled Worker
1 Kings Dental Limited,London,NULL,Worker (A rating),Skilled Worker
1 Life London Limited,Streatham,,Worker (A rating),Skilled Worker
1 Oak Home Care,Sudbury,Suffolk,Worker (A rating),Skilled Worker
1 Oak Leisure Ireland Ltd,Cookstown,Tyrone,Worker (A rating),Skilled Worker
1 REPAIR LTD,Clarkston,Glasgow,Worker (A rating),Skilled Worker
1 Step beyond Support Ltd,Cannock,Staffordshire,Worker (A rating),Skilled Worker
1 STOP CARS LTD,STAINES,,Worker (A rating),Skilled Worker
1 Stop Print Ltd,Ilford,,Worker (A rating),Skilled Worker
1 STOP REC LIMITED,ESSEX,,Worker (A rating),Skilled Worker
1 Stop Wash Ltd,London,,Worker (A rating),Skilled Worker
1 WAY TECH SOLUTIONS LIMITED,London,,Worker (A rating),Skilled Worker
1-2 Achieve,Downham Market,Norfolk,Worker (A rating),Skilled Worker
1-2 Call Cars Ltd,Hampshire,,Worker (A rating),Skilled Worker
1-VIA LTD,Reading,Berkshire,Worker (A rating),Skilled Worker
10 DAYS STUDIO LTD,London,,Worker (A rating),Skilled Worker
10 DINING STREET LIMITED,Oakham,,Worker (A rating),Skilled Worker
10 Europe Limited,Edinburgh,NULL,Worker (A rating),Skilled Worker
10 Squared Ltd,Pocklington,East riding of yorkshire,Worker (A rating),Skilled Worker
10/10 MEDICAL LIMITED,SOUTHPORT,,Worker (A rating),Skilled Worker
10:10 Games Limited,Warrington,Cheshire,Worker (A rating),Skilled Worker
100 Percent Cornwall Ltd,Truro ,Cornwall,Worker (A rating),Skilled Worker
100% HALAL MEAT STORES LTD,Birmingham,,Worker (A rating),Skilled Worker
1000 Trades Limited ,Birmingham,,Worker (A rating),Skilled Worker
1000heads Ltd,London,NULL,Worker (A rating),Skilled Worker
100Starlings Ltd,London,,Worker (A rating),Skilled Worker
101 A+D Ltd.,Bristol,,Worker (A rating),Skilled Worker
101 Byres Road Limited,Glasgow,,Worker (A rating),Skilled Worker
101 Harley Street LTD,London,,Worker (A rating),Skilled Worker
101 Healthcare ltd ,Gloucester,,Worker (A rating),Skilled Worker
101 Studios UK Limited,London,,Worker (A rating),Skilled Worker
101 Ways Limited,London,,Worker (A rating),Skilled Worker
1010 Restaurant @ The Blacksmiths arms ,Billingshurst,West Sussex,Worker (A rating),Skilled Worker
105 West Architects Ltd,Bristol,,Worker (A rating),Skilled Worker
1066 Foodservice Limited trading as Roosters Piri Piri,Harrow,Middlesex,Worker (A rating),Skilled Worker
1066 PLUMBING AND HEATING LTD,"St. Leonards-On-Sea,",,Worker (A rating),Skilled Worker
107 Cannon Street Limited,London,,Worker (A rating),Skilled Worker
108 RETAIL LIMITED T/A SPAR,Glasgow,,Worker (A rating),Skilled Worker
1080 Properties Ltd,Kent,,Worker (A rating),Skilled Worker
10ACT Ltd T/A TrackBack,"Chilworth, Southampton",Hampshire,Worker (A rating),Skilled Worker
10architect Ltd,Manchester,,Worker (A rating),Skilled Worker
10BE5 LTD.,London,NULL,Worker (A rating),Skilled Worker
10BIT FX LIMITED,London,,Worker (A rating),Skilled Worker
10Pearls Ltd,London,,Worker (A rating),Skilled Worker
10X Banking Technology Services Ltd,London,NULL,Worker (A rating),Skilled Worker
11 2 11 Ltd,Stamford,,Worker (A rating),Skilled Worker
11 BERKELEY STREET LIMITED,London,NULL,Worker (A rating),Skilled Worker
11:FS GROUP LIMITED,London,NULL,Worker (A rating),Skilled Worker
111 By Nico Ltd,Glasgow,,Worker (A rating),Skilled Worker
111 Pilates Ltd,Blackheath,London,Worker (A rating),Skilled Worker
111 Skin Limited,London ,Fritzovia,Worker (A rating),Skilled Worker
114 GPS Ltd  T/A Sushi Atelier,LONDON,NULL,Worker (A rating),Skilled Worker
1177 Retail Limited,Portsmouth,,Worker (A rating),Skilled Worker
11and12 Limited,Hinckley,,Worker (A rating),Skilled Worker
11Arches,Bishop Auckland,,Worker (A rating),Skilled Worker
11Eleven UK Enterprises Ltd,Bristol,,Worker (A rating),Skilled Worker
11K Consulting Ltd ,London,,Worker (A rating),Skilled Worker
11Plus Teacher Ltd,Chelmsford,,Worker (A rating),Skilled Worker
11x Limited,London,NULL,Worker (A rating),Skilled Worker
12 MM GROUP LTD,London,,Worker (A rating),Skilled Worker
12.18 Roxburghe Hotel Golf & Spa Ltd,Heiton by Kelso,Roxburghe,Worker (A rating),Skilled Worker
1212 AFRO CARIBBEAN FOOD,NOTTINGHAM,,Worker (A rating),Skilled Worker
1214 Construction,Bradford,,Worker (A rating),Skilled Worker
1218 UK Limited,Leicester,Leicestershire,Worker (A rating),Skilled Worker
123 E-Filing Limited,Bolton,Lancashire,Worker (A rating),Skilled Worker
123 Insight Limited,Durely,Southampton,Worker (A rating),Skilled Worker
123 Investments Ltd,Leeds,West Yorkshire,Worker (A rating),Skilled Worker
"126 Newland Avenue,",Hull,,Worker (A rating),Skilled Worker
1265 Degrees North Ltd,Newcastle upon Tyne,,Worker (A rating),Skilled Worker
12B Solicitors Limited,London,England,Worker (A rating),Skilled Worker
13 Local Limited,Addlestone,Surrey,Worker (A rating),Skilled Worker
1313 Global Limited,Hounslow,NULL,Worker (A rating),Skilled Worker
1313 Grays Limited,London,England,Worker (A rating),Skilled Worker
1313 Superstore Ltd ,Reading ,,Worker (A rating),Skilled Worker
13th Street Hospitality Ltd t/a Sunday in Brooklyn,London,,Worker (A rating),Skilled Worker
14 DAY UK LTD,LEEDS,,Worker (A rating),Skilled Worker
14 PROMOTIONS (TRADE) LIMITED,LONDON,,Worker (A rating),Skilled Worker
14 Septembre London Limited,London,,Worker (A rating),Skilled Worker
1407 Art London Limited,Wembley,,Worker (A rating),Skilled Worker
1416 DIGITAL LTD,London,,Worker (A rating),Skilled Worker
1440Sports Management LTD,London,London,Worker (A rating),Skilled Worker
14STARS UK LIMITED,Cardiff,NULL,Worker (A rating),Skilled Worker
1508 London Limited,London,NULL,Worker (A rating),Skilled Worker
1512 Limited T/A AGAssociates,Wallington,Surrey,Worker (A rating),Skilled Worker
152 Harley Street Limited,London,London,Worker (A rating),Skilled Worker
15Below Ltd,Brighton,East Sussex,Worker (A rating),Skilled Worker
15GIFTS LTD,Brighton,East Sussex,Worker (A rating),Skilled Worker
16 Barrack Ltd TA Saffron Indian Restaurant & Pizza Place,Woodbridge,,Worker (A rating),Skilled Worker
16 Plus Care Support Solutions Ltd,Gloucester,,Worker (A rating),Skilled Worker
160B Consulting Ltd,Dungannon,Tyrone,Worker (A rating),Skilled Worker
168 EXPRESS LTD,CALDICOT,NULL,Worker (A rating),Skilled Worker
16CS Operations Ltd,London,,Worker (A rating),Skilled Worker
16HarleyCo Limited,London,NULL,Worker (A rating),Skilled Worker
17 Capital Services Ltd,London,,Worker (A rating),Skilled Worker
17 CORSHAM SHOREDITCH LIMITED,London,,Worker (A rating),Skilled Worker
1708 Retail Ltd,Waterlooville,Hampshire,Worker (A rating),Skilled Worker
1717 Retail Ltd,Waterlooville,Hampshire,Worker (A rating),Skilled Worker
173tech Ltd,Havant,Hampshire,Worker (A rating),Skilled Worker
1771 Technologies Limited ,London,,Worker (A rating),Skilled Worker
178 PARK VIEW LIMITED,ORPINGTON,KENT,Worker (A rating),Skilled Worker
1783 Limited,London,,Worker (A rating),Skilled Worker
17CARE UK LTD,High Wycombe,Buckinghamshire ,Worker (A rating),Skilled Worker
17Cicada Limited,Nottingham,,Worker (A rating),Skilled Worker
17TAOUK TRADE LIMITED,BIRMINGHAM,WEST MIDLANDS,Worker (A rating),Skilled Worker
17th Century Health Food Limited,Birmingham,,Worker (A rating),Skilled Worker
18 Degrees Below Ltd,London,,Worker (A rating),Skilled Worker
18 NOVEMBER LTD,Ilford,,Worker (A rating),Skilled Worker
18 WEEK SUPPORT LIMITED,London,,Worker (A rating),Skilled Worker
18.01 London Limited,London,,Worker (A rating),Skilled Worker
184 DISTRIBUTION LIMITED,Cambridge,,Worker (A rating),Skilled Worker
186 London Limited,London,NULL,Worker (A rating),Skilled Worker
186 LONDON LIMITED,London,,Worker (A rating),Skilled Worker
187 Couriers Ltd,Coventry,,Worker (A rating),Skilled Worker
1885 the Venue Ltd,Halifax,West Yorkshire,Worker (A rating),Skilled Worker
1899 Hartlepool Ltd,Colchester,NULL,Worker (A rating),Skilled Worker
18A Charing Cross Dental Surgery,London,,Worker (A rating),Skilled Worker
18PLUS SUPPORT LIMITED,Wickford,Essex,Worker (A rating),Skilled Worker
19 BY K & R CATERING LTD T/A 19 BY KATHERINE CARR,BALLYCASTLE,NORTHERN IRELAND,Worker (A rating),Skilled Worker
1905 Group Limited T/A 1905,London,,Worker (A rating),Skilled Worker
1910 GROUP LIMITED,Kingston Upon Thames,,Worker (A rating),Skilled Worker
"1947 Restaurant & Bar Ltd T/A 1947 Restaurant, Bar & Pizza Kitchen",London,,Worker (A rating),Skilled Worker
1953 Bar And Restaurant,Galashiels,Scottish Borders,Worker (A rating),Skilled Worker
197 Stoney Limited,London,NULL,Worker (A rating),Skilled Worker
1986 The Kebab Kafe (just halal Kebabs),Sheffield,South Yorkshire,Worker (A rating),Skilled Worker
199 Clinic Limited t/a London Longevity Clinic,London,,Worker (A rating),Skilled Worker
1A ORTHODONTICS LIMITED,London,,Worker (A rating),Skilled Worker
1Breadcrumb UK Ltd,London,,Worker (A rating),Skilled Worker
1CLICK STUDIO,DAGENHAM,Essex,Worker (A rating),Skilled Worker
1D Agency Ltd T/A One Day Agency,MANCHESTER,,Worker (A rating),Skilled Worker
1DA Limited,Middlesex,,Worker (A rating),Skilled Worker
1decision Limited,Stevenage,Hertfordshire,Worker (A rating),Skilled Worker
1E Limited,London,NULL,Worker (A rating),Skilled Worker
1GLOBAL Operations (UK) Limited,London,,Worker (A rating),Skilled Worker
1LWW CO LIMITED,"Nottingham, ",England,Worker (A rating),Skilled Worker
1OAK CAPITAL LIMITED,London,NULL,Worker (A rating),Skilled Worker
1OSD Ltd,Sheffield,,Worker (A rating),Skilled Worker
1partCarbon Ltd,Edinburgh,Scotland,Worker (A rating),Skilled Worker
1PS Group Limited,LONDON,,Worker (A rating),Skilled Worker
1SA LIMITED T/A Subway,Hammersmith,,Worker (A rating),Skilled Worker
1SKY LTD,Oldham,England,Worker (A rating),Skilled Worker
1st Adtube Limited,London,NULL,Worker (A rating),Skilled Worker
1st Airport Taxis LTD,Luton,,Worker (A rating),Skilled Worker
1ST ASSIST LIMITED ,London ,,Worker (A rating),Skilled Worker
1st Care Limited t/as The Hawthorne Nursing Home,Nottinghamshire,,Worker (A rating),Skilled Worker
1st Central Care Limited,Stanford-le-Hope,,Worker (A rating),Skilled Worker
1st Choice 24/7 Recruitment Ltd,East Ham,London,Worker (A rating),Skilled Worker
1ST CHOICE ACCOUNTANTS LTD,Birmingham ,West Midlands,Worker (A rating),Skilled Worker
1ST CHOICE AUTOS LTD,Walsall,,Worker (A rating),Skilled Worker
1st Choice Cabs Ltd,Ilford,NULL,Worker (A rating),Skilled Worker
1ST CHOICE CABS LTD,London,,Worker (A rating),Skilled Worker
1ST CHOICE CONSULTANCY LTD,Birmingham,,Worker (A rating),Skilled Worker
"1ST CHOICE PLUMBING,HEATING &COOLING LTD",Leicester,,Worker (A rating),Skilled Worker
1ST CHOICE RESOURCE GRP LTD,Edinburgh,,Worker (A rating),Skilled Worker
